,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
47,EBTP4,10.0,-42.66,1.14,0.537,"0,00%",0.346,-492.13,6.29,-0.71,8.33,2.81,"8,53%","-1,03%",0.99,"6,03%","-2,68%",0.0,10782200000.0,0.39,"22,10%"
48,EMBR3,15.25,-41.09,0.76,0.498,"0,00%",0.199,0.66,7.59,-1.35,13.05,7.48,"6,57%","-1,18%",2.08,"3,77%","-1,85%",182686000.0,14887100000.0,1.51,"4,41%"
49,FBRA4,34.58,-39.57,1.66,0.457,"0,00%",0.738,18.94,7.4,-4.43,10.62,10.62,"6,18%","-1,15%",1.11,"11,94%","-4,20%",0.0,213406000.0,0.77,"12,48%"
50,BRTP4,20.81,-39.19,1.43,0.681,"0,00%",0.399,5.23,3.51,-1.4,5.03,5.03,"19,37%","-2,96%",1.29,"13,41%","-3,64%",0.0,5302340000.0,0.91,"3,66%"
51,BAHI4,86.0,-38.15,10.08,5.274,"0,00%",2.282,-7.66,-495.17,-3.39,-513.31,283.29,"-1,06%","-14,32%",0.22,"-0,48%","-26,43%",0.0,139455000.0,0.46,"71,76%"
52,ARTR3,10.01,-36.29,0.89,1.342,"0,00%",0.317,66.91,8.97,-0.6,21.87,8.64,"14,95%","-3,70%",1.04,"3,95%","-2,45%",0.0,6464390000.0,1.55,"-1,15%"
53,ITEC3,40.1,-35.12,22.04,2611.69,"0,00%",9.216,25.42,-26.0,-68.91,-24.8,-29.56,"-10.044,70%","-7.435,88%",5.23,"-63,06%","-62,76%",0.0,20143000.0,0.0,"-74,79%"
54,ANIM3,7.42,-34.18,1.26,1.13,"0,00%",0.303,39.01,8.12,-0.49,20.43,9.52,"13,92%","-3,07%",1.06,"4,02%","-3,68%",19229600.0,2381110000.0,2.12,"23,55%"
55,ORVR3,30.95,-34.0,5.91,5.775,"0,00%",2.394,15.03,43.81,-13.08,48.94,24.76,"13,18%","-8,88%",1.66,"5,65%","-17,39%",14629400.0,374300000.0,0.71,"0,00%"
56,IMBI4,3.5,-32.43,1.96,1857.6,"0,00%",0.362,-1.54,-67.85,-0.26,-75.44,-77.41,"-2.737,88%","-13.821,20%",0.05,"-0,54%","-6,05%",0.0,62544000.0,0.22,"-57,16%"
57,PRTX3,2.77,-32.27,-145.32,297.651,"0,00%",1.4,-2.57,-97.11,-1.43,-128.99,37.19,"-306,50%","-922,47%",0.05,"-1,50%","450,37%",0.0,-18917000.0,-49.85,"307,96%"
58,OMGE3,27.57,-32.03,1.59,3.419,"0,00%",0.543,10.86,12.56,-1.06,24.34,13.09,"27,23%","-11,12%",1.72,"4,69%","-4,95%",0.0,3483570000.0,1.66,"38,73%"
59,DFVA3,9.9,-31.38,60.69,4.327,"0,00%",5.365,29.1,-55.91,-31.47,-58.28,-58.28,"-7,74%","-13,79%",1.33,"-10,35%","-193,42%",0.0,1170000.0,2.84,"3,39%"
