data,AMBEV,rsi,roc,willr,BRF,EURO,Heineken_euro,JBS,DOLAR,IBOVESPA,cdi,Risco_Brasil,Dividends
2002-05-06,0.8243768215179443,44.05083055200246,0.0,-51.351253824364065,,,31.7041072845459,,,12430.0,0.066408,906,0.0
2002-05-07,0.820305585861206,45.88891828782781,1.7341107377999654,-60.37733133001647,,,31.60066795349121,,,12342.0,0.066139,903,0.0
2002-05-08,0.8305034041404724,72.07281316069857,9.282466501645526,-6.94442727438095,,,31.587722778320312,,,12617.0,0.065769,902,0.0
2002-05-09,0.8305034041404724,61.75112375201148,6.6210035222805885,-30.555550649823125,,,31.102752685546875,,,12102.0,0.066005,949,0.0
2002-05-10,0.8305034041404724,62.76455301931465,5.985327092537118,-26.38887662455782,,,30.779451370239258,,,12130.0,0.066341,945,0.0
2002-05-13,0.8140149116516113,65.19234927659934,8.081958457359839,-16.82694203402233,,,31.03809356689453,,,12002.0,0.066677,973,0.0
2002-05-14,0.8142206072807312,59.15104121639063,7.732257117640717,-32.21154331102897,,,31.057497024536133,,,12204.0,0.066844,950,0.0
2002-05-15,0.8152362108230591,60.386461600818066,7.99770635279915,-27.40383248710018,,,30.488468170166016,,,12350.0,0.066878,921,0.0
2002-05-16,0.8162555694580078,61.87646527551143,7.574031686536142,-21.63465285795112,,,30.255680084228516,,,12660.0,0.066811,905,0.0
2002-05-17,0.822361946105957,61.876465275511435,7.451646596288608,-21.63465285795112,,,30.068161010742188,,,12699.0,0.066811,919,0.0
2002-05-20,0.8101496696472168,58.27509484414859,6.727470560064508,-30.541902931960294,,,29.932361602783203,,,12668.0,0.066677,928,0.0
2002-05-21,0.8160502910614014,55.41468116492298,5.56817909656484,-37.4384222567779,,,29.460330963134766,,,12701.0,0.066139,940,0.0
2002-05-22,0.822361946105957,52.25768445709905,-4.01250878756938,-45.320185473149145,,,29.492660522460938,,,12368.0,0.066206,959,0.0
2002-05-23,0.8152362108230591,56.434077190106905,-0.05353441498106015,-33.00491870281545,,,29.89356231689453,,,12556.0,0.06671,972,0.0
2002-05-24,0.8243967294692993,54.98372709016404,-0.905700970420753,-42.045436072943076,,,30.068161010742188,,,12574.0,0.066844,990,0.0
2002-05-27,0.8203266859054565,59.32585751487272,-0.6319059153822248,-44.7618718914736,,,29.88062858581543,,,12698.0,0.066744,982,0.0
2002-05-28,0.8305034041404724,64.0308636863142,2.8923353292556797,-14.814978339229041,,,30.00348663330078,,,12728.0,0.066509,984,0.0
2002-05-29,0.8284680247306824,52.02256387192029,-1.0122564167494685,-73.14823808657597,,,30.074617385864258,,,12985.0,0.065904,979,0.0
2002-05-30,0.8284680247306824,55.97441943534941,-0.15880773036611728,-47.22224675088435,,,30.074617385864258,,,,,980,0.0
2002-05-31,0.822361946105957,61.46763552155514,2.223399099335599,-12.82050028039699,,,29.75776481628418,,,12861.0,0.064792,976,0.0
2002-06-03,0.832538902759552,60.38576124259008,2.831200353022534,-24.40943462817923,,,29.828899383544922,,,12659.0,0.061983,1.006,0.0
2002-06-04,0.832538902759552,62.73995709389867,4.682458787975419,-15.941988923549827,,,29.550851821899414,,,12600.0,0.050928,1.072,0.0
2002-06-05,0.816297173500061,63.669992258424415,6.026061920488823,-15.646234671462288,,,29.932361602783203,,,12590.0,0.059598,1.127,0.0
2002-06-06,0.8162555694580078,64.50485716167802,4.981254961839232,-10.884348445510138,,,29.80950164794922,,,12113.0,0.063339,1.199,0.0
2002-06-07,0.8162555694580078,59.26657276941505,4.032257981818055,-27.891159110578265,,,29.415054321289062,,,12283.0,0.065163,1.181,0.0
2002-06-10,0.8142206072807312,60.10394521539521,2.8616798312800062,-23.809560881429032,,,29.641386032104492,,,12600.0,0.065971,1.144,0.0
2002-06-11,0.8142206072807312,59.66363913029543,0.9370136062175849,-28.68221524340117,,,29.93882179260254,,,12210.0,0.066139,1.208,0.0
2002-06-12,0.8182910084724426,58.73690168353306,4.144243600244768,-31.78291135122987,,,29.2340030670166,,,12133.0,0.065904,1.296,0.0
